"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 19 11:19:01 GMT 2025","Fri Sep 19 11:19:10 GMT 2025","9242","tests.ui.vacancies","test_vacansies","TestVacancyList","","","Проверка корректного отображения, состояний и функциональности хлебных крошек на странице вакансий","Тест: Проверка корректной работы хлебных крошек на странице вакансий.

        Предусловия:
            - Страница вакансий загружена.
        Шаги:
            1. Проверить, что блок хлебных крошек отображается на странице.
            2. Проверить текстовое содержимое крошек:
                - Первая крошка (родительская): ""Главная"" (является кликабельной ссылкой).
                - Вторая крошка (текущая): ""Все вакансии"" (не является ссылкой).
            3. Проверить состояние ссылки ""Главная"":
                b. Ссылка должна быть активной (иметь атрибут `href=""/""`, не быть disabled).
            4. Проверить функциональность:
                a. Кликнуть по ссылке ""Главная"".
                b. Убедиться, что произошел переход на главную страницу (URL заканчивается на '/').
                c. Убедиться, что главная страница загрузилась корректно
                   (например, отображается герой-секция или навигация).
        Ожидаемый результат:
            - Блок хлебных крошек отображается корректно.
            - Текст крошек: ""Главная | Все вакансии"".
            - Ссылка ""Главная"" ведет на главную страницу при клике.
            - Текущая крошка ""Все вакансии"" не является кликабельной.
        "
"passed","Fri Sep 19 11:18:26 GMT 2025","Fri Sep 19 11:18:37 GMT 2025","10263","tests.ui.components","test_footer","TestFooterComponent","","","Проверка отображения компонента Footer на странице Вакансии","Тест: Проверка отображения компонента Footer на странице Вакансии.

        Предусловия:
            - Открыта любая страница, например, '/vakansii'.

        Шаги:
            1. Проверить, что все элементы футера видны(копирайт, ИНН, ссылки, логотип).
            2. Скачать файл ""Политики конфиденциальности"" - проверить название,
            формат документа и что файл не пустой.
            3. Скачать файл ""Пользовательского соглашения"" - проверить название,
            формат документа и что файл не пустой.
            4. Кликнуть на логотип - проверить переход на главную страницу, URL содержит '/'.

        Ожидаемый результат:
            - Все элементы футера отображаются корректно.
            - Юридические документы скачиваются, имеют корректный формат и не пустые.
            - Переход на главную страницу работает корректно.
        "
"passed","Fri Sep 19 11:19:37 GMT 2025","Fri Sep 19 11:19:48 GMT 2025","11000","tests.ui.vacancies","test_vacansies","TestVacancyList","","","Проверка, что клик по карточке вакансии открывает детальную страницу","Тест: Проверка, что клик по карточке вакансии открывает детальную страницу.

        Предусловия:
            - Пользователь находится на странице '/vakansii'.
            - Список вакансий содержит как минимум одну карточку.
        Шаги:
            1. Получить данные первой вакансии в списке (название, дата, URL).
            2. Навести курсор на карточку вакансии (проверить hover-состояние, если применимо).
            3. Кликнуть по карточке вакансии.
            4. Дождаться полной загрузки детальной страницы вакансии.
            5. Проверить, что URL страницы соответствует ожидаемому (на основе href карточки).
            6. Проверить, что на детальной странице отображается:
                - Заголовок вакансии, идентичный названию в карточке.
                - Дата публикации вакансии.
                - Блок ""Обязанности"".
                - Блок ""Требования"".
                - Блок ""Условия"".
                - Кнопка ""Откликнуться"" (или аналогичная).
            7. Проверить, что хлебные крошки на детальной странице содержат путь:
                ""Главная | Все вакансии | [Название вакансии]"".

        Ожидаемый результат:
            - Пользователь успешно переходит на детальную страницу выбранной вакансии.
            - Все ключевые элементы интерфейса и контент отображаются корректно.
            - Информация на детальной странице соответствует данным из карточки в списке.
        "
"passed","Fri Sep 19 11:18:50 GMT 2025","Fri Sep 19 11:18:59 GMT 2025","8863","tests.ui.vacancies","test_vacansies","TestVacancyList","","","Проверка, что страница вакансий загружается корректно","Тест: Проверка, что страница вакансий загружается корректно.

        Что тестируется:
            - После перехода на страницу '/vakansii' должны быть видимы:
                1. Глобальная навигационная панель (шапка).
                2. Хлебные крошки с текстом ""Все вакансии"".
                3. Заголовок страницы с текстом ""Присоединяйся к команде Центра"".
                4. Панель фильтров (категории, поиск, сортировка).
                5. Список карточек вакансий.
            - Это базовый smoke-тест, гарантирующий, что страница не ""сломана"".
        "
"passed","Fri Sep 19 11:19:24 GMT 2025","Fri Sep 19 11:19:35 GMT 2025","11531","tests.ui.vacancies","test_vacansies","TestVacancyList","","","Проверка, что клик по карточке вакансии открывает детальную страницу","Тест: Проверка, что клик по карточке вакансии открывает детальную страницу.

        Предусловия:
            - Пользователь находится на странице '/vakansii'.
            - Список вакансий содержит как минимум одну карточку.
        Шаги:
            1. Получить данные первой вакансии в списке (название, дата, URL).
            2. Навести курсор на карточку вакансии (проверить hover-состояние, если применимо).
            3. Кликнуть по карточке вакансии.
            4. Дождаться полной загрузки детальной страницы вакансии.
            5. Проверить, что URL страницы соответствует ожидаемому (на основе href карточки).
            6. Проверить, что на детальной странице отображается:
                - Заголовок вакансии, идентичный названию в карточке.
                - Дата публикации вакансии.
                - Блок ""Обязанности"".
                - Блок ""Требования"".
                - Блок ""Условия"".
                - Кнопка ""Откликнуться"" (или аналогичная).
            7. Проверить, что хлебные крошки на детальной странице содержат путь:
                ""Главная | Все вакансии | [Название вакансии]"".

        Ожидаемый результат:
            - Пользователь успешно переходит на детальную страницу выбранной вакансии.
            - Все ключевые элементы интерфейса и контент отображаются корректно.
            - Информация на детальной странице соответствует данным из карточки в списке.
        "
"failed","Fri Sep 19 11:22:21 GMT 2025","Fri Sep 19 11:22:30 GMT 2025","9704","tests.ui.vacancies","test_vacansies","TestVacancyFilters","","","Проверка переключения сортировки на 'Сначала старые'","Проверяет пересортировку вакансий по возрастанию даты.

        Предусловия:
            - Страница вакансий загружена.
            - Отображены вакансии по категории ""Все"".
            - Вакансии отсортированы по дате публикации ""Сначала новые"".
        Шаги:
            1. Нажать на кнопку ""Сначала новые"".
            5. Иконка стрелочка вниз активна и отображает текст ""Сначала старые"".
            6. Проверить, что вакансии отсортированы по дате публикации от старых к новым.

        Ожидаемый результат:
            - Нажатие на таб ""Сначала новые"" обновляет список вакансий и сортирует их
            по дате публикации от старых к новым.
            - Иконка стрелочка вниз активна и отображает текст ""Сначала старые"".
        "
"passed","Fri Sep 19 11:19:50 GMT 2025","Fri Sep 19 11:20:28 GMT 2025","38166","tests.ui.vacancies","test_vacansies","TestVacancyFilters","","","Проверка, что при клике на вкладку категории в фильтре, список карточек вакансий обновляется","Тест: Проверка, что при клике на вкладку категории в фильтре,список вакансий обновляется.

        Предусловия:
            - Страница вакансий загружена.
        Шаги:
            1. Нажать на вкладку категории в фильтре.
            2. Проверить, что список карточек вакансий обновился.
        Ожидаемый результат:
            - Список карточек вакансий должен обновиться с учетом выбранной категории.
        "
"passed","Fri Sep 19 11:18:38 GMT 2025","Fri Sep 19 11:18:48 GMT 2025","9663","tests.ui.vacancies","test_vacansies","TestVacancyList","","","Проверка, что страница вакансий загружается корректно","Тест: Проверка, что страница вакансий загружается корректно.

        Что тестируется:
            - После перехода на страницу '/vakansii' должны быть видимы:
                1. Глобальная навигационная панель (шапка).
                2. Хлебные крошки с текстом ""Все вакансии"".
                3. Заголовок страницы с текстом ""Присоединяйся к команде Центра"".
                4. Панель фильтров (категории, поиск, сортировка).
                5. Список карточек вакансий.
            - Это базовый smoke-тест, гарантирующий, что страница не ""сломана"".
        "
"failed","Fri Sep 19 11:22:33 GMT 2025","Fri Sep 19 11:22:43 GMT 2025","10198","tests.ui.vacancies","test_vacansies","TestVacancyFilters","","","Проверка переключения сортировки на 'Сначала старые'","Проверяет пересортировку вакансий по возрастанию даты.

        Предусловия:
            - Страница вакансий загружена.
            - Отображены вакансии по категории ""Все"".
            - Вакансии отсортированы по дате публикации ""Сначала новые"".
        Шаги:
            1. Нажать на кнопку ""Сначала новые"".
            5. Иконка стрелочка вниз активна и отображает текст ""Сначала старые"".
            6. Проверить, что вакансии отсортированы по дате публикации от старых к новым.

        Ожидаемый результат:
            - Нажатие на таб ""Сначала новые"" обновляет список вакансий и сортирует их
            по дате публикации от старых к новым.
            - Иконка стрелочка вниз активна и отображает текст ""Сначала старые"".
        "
"passed","Fri Sep 19 11:19:13 GMT 2025","Fri Sep 19 11:19:22 GMT 2025","8956","tests.ui.vacancies","test_vacansies","TestVacancyList","","","Проверка корректного отображения, состояний и функциональности хлебных крошек на странице вакансий","Тест: Проверка корректной работы хлебных крошек на странице вакансий.

        Предусловия:
            - Страница вакансий загружена.
        Шаги:
            1. Проверить, что блок хлебных крошек отображается на странице.
            2. Проверить текстовое содержимое крошек:
                - Первая крошка (родительская): ""Главная"" (является кликабельной ссылкой).
                - Вторая крошка (текущая): ""Все вакансии"" (не является ссылкой).
            3. Проверить состояние ссылки ""Главная"":
                b. Ссылка должна быть активной (иметь атрибут `href=""/""`, не быть disabled).
            4. Проверить функциональность:
                a. Кликнуть по ссылке ""Главная"".
                b. Убедиться, что произошел переход на главную страницу (URL заканчивается на '/').
                c. Убедиться, что главная страница загрузилась корректно
                   (например, отображается герой-секция или навигация).
        Ожидаемый результат:
            - Блок хлебных крошек отображается корректно.
            - Текст крошек: ""Главная | Все вакансии"".
            - Ссылка ""Главная"" ведет на главную страницу при клике.
            - Текущая крошка ""Все вакансии"" не является кликабельной.
        "
